sasija;Znamka vozila;Leto izdelave;Število lastnikov;Barva;Vrsta goriva;Oznaka motorja;Moč;Prostornina;EURO oznaka;Prva registracija;Prve registracija (SI);Status/starost
W0L0JBF19W1171731;OPEL VECTRA / 1.6 IGL;1998;8;kovinski - RJAVA - SVETLA;Bencin;X16XEL;74 kW;1598 ccm;EURO 2;1998-04-16;1998-04-16;Fizična oseba 48 let
920399138;KTM 300;None;3;None;None;None;/ kW;/ ccm;ni podatka;1992-04-01;1992-04-09 UVOŽEN;35 let
VF1BA0F0D14794421;RENAULT MEGANE / 1.6 E RT;None;4;None;None;None;/ kW;/ ccm;ni podatka;1996-05-01;1996-05-30 UVOŽEN;32 let
WF0FXXGCAFEL36904;FORD-D ORION / 1.6 D;None;2;None;None;None;/ kW;/ ccm;ni podatka;1988-09-01;1988-09-21 UVOŽEN;50 let
VF1BM1R0H39884642;RENAULT MEGANE / 1.6 / 16V;None;2;None;None;None;/ kW;/ ccm;ni podatka;2008-04-23;2008-04-23;41 let
YA306256470645886;ATLAS COPCO XAS / 97 DD;None;1;None;None;None;/ kW;/ ccm;ni podatka;2007-06-21;2007-06-21;
WVWZZZ1KZ7W600867;VOLKSWAGEN GOLF PLUS / 1.9 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2007-03-26;2007-03-26;38 let
VF1BMR20532475468;RENAULT MEGANE / 1.5 / DCI;None;4;None;None;None;/ kW;/ ccm;ni podatka;2004-10-01;2004-10-13 UVOŽEN;28 let
662997;TOMOS A-3 KLE;None;2;None;None;None;/ kW;/ ccm;ni podatka;2006-06-23;2006-06-23;Fizična oseba 57 let
VF1B5370506972332;RENAULT R19 / TSE;1991;4;kovinski - SIVA - TEMNA;None;None;/ kW;/ ccm;EURO 0;1991-05-28;1991-05-28;Fizična oseba 65 let
LANTCK3B180000401;YAMASAKI YM150T /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2012-06-21;2012-06-21;34 let
WAUZZZ8P85A095554;AUDI A3 / 1.9 / TDI;None;2;None;None;None;/ kW;/ ccm;ni podatka;2005-01-04;2009-05-09 UVOŽEN;29 let
VF1BZ0V0643406975;RENAULT MEGANE / 1.6 / 16V;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-07-08;2010-07-08;
ZD4MPB100YS101914;APRILIA RS 125;None;3;None;None;None;/ kW;/ ccm;ni podatka;2001-07-01;2001-07-18 UVOŽEN;18 let
WVWZZZ1KZDW524758;VOLKSWAGEN GOLF PLUS / 1.6 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2012-10-04;2012-10-04;71 let
WVWZZZ1KZ8W302952;VOLKSWAGEN GOLF / 1.9 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-07-10;2008-07-10;55 let
VF1KZ1U0644194637;RENAULT MEGANE / GRANDTOUR 1.6 / 16V;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-11-26;2010-11-26;
VF1KZ1G0644459096;RENAULT MEGANE / GRANDTOUR 1.5 / DCI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-12-10;2010-12-10;
TEC1T0266107;PIAGGIO TYPHOON 50;None;2;None;None;None;/ kW;/ ccm;ni podatka;2002-06-01;2002-06-11 UVOŽEN;31 let
VF1FDBCE525560108;RENAULT MASTER FURGON 2.8;None;3;None;None;None;/ kW;/ ccm;ni podatka;2001-10-01;2001-10-17 UVOŽEN;31 let
ZFA18200004410538;FIAT BRAVA;None;3;None;None;None;/ kW;/ ccm;ni podatka;1997-06-01;1997-06-16 UVOŽEN;30 let
VTPMRX13C00736036;RIEJU SMX 50 /;None;2;None;None;None;/ kW;/ ccm;ni podatka;2008-06-30;2008-06-30;20 let
VF7LA9HYB74155623;CITROEN C 4 / 1.6;None;2;None;None;None;/ kW;/ ccm;ni podatka;2005-03-01;2005-03-16 UVOŽEN;44 let
WBANX91090CU43604;BMW 535 / / D AUT.;None;2;None;None;None;/ kW;/ ccm;ni podatka;2007-04-18;2010-07-09 UVOŽEN;25 let
VF1B57A0514533664;RENAULT CLIO / 1.2 BEBOP;None;6;None;None;None;/ kW;/ ccm;ni podatka;1996-05-01;1996-05-08 UVOŽEN;23 let
WF0PXXGCDPAP50604;FORD FOCUS / 1.6 /;None;2;None;None;None;/ kW;/ ccm;ni podatka;2011-02-16;2011-02-16;43 let
962379;TOMOS A 35 A;None;2;None;None;None;/ kW;/ ccm;ni podatka;2011-05-23;2011-05-23;18 let
ZJM44000044082760;MALAGUTI FIREFOX F-15 /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-05-30;2008-05-30;18 let
WVWZZZ1KZBW322562;VOLKSWAGEN GOLF / 1.6 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-05-18;2011-05-18;26 let
WBAFF41020L105715;BMW X5 / 3.0 / d AUT.;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-05-06;2008-05-06;38 let
ZAPC4610000023470;GILERA RUNNER RST 50 SP /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2007-08-20;2007-08-20;50 let
LC2U6000061100653;KYMCO AGILITY 50 /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2007-04-26;2007-04-26;29 let
VBKRTA4026M447508;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WVWZZZ1KZ5P007227;VOLKSWAGEN GOLF / 2.0;None;3;None;None;None;/ kW;/ ccm;ni podatka;2004-06-01;2004-06-24 UVOŽEN;32 let
WVWZZZ1KZ6W064216;VOLKSWAGEN GOLF / 1.9 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2006-08-25;2006-08-25;48 let
WVWZZZ1KZ9W441673;VOLKSWAGEN GOLF / 2.0 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2009-08-07;2009-08-07;32 let
WBANJ510X0B413740;BMW 525 / TOURING / D;None;2;None;None;None;/ kW;/ ccm;ni podatka;2005-12-19;2007-09-14 UVOŽEN;43 let
WVWZZZ1KZ8P129935;VOLKSWAGEN GOLF / 1.9 / TDI;None;2;None;None;None;/ kW;/ ccm;ni podatka;2008-06-23;2008-06-23;36 let
VF7ZADB0006DB7380;CITROEN AX / CABAN 1.1 I;None;1;None;None;None;/ kW;/ ccm;ni podatka;1993-10-01;1993-10-18 UVOŽEN;55 let
VF3231A6215278938;PEUGEOT BOXER;None;7;None;None;None;/ kW;/ ccm;ni podatka;1996-07-01;1996-07-10 UVOŽEN;Fizična oseba 22 let
MA3EFB11S00273320;SUZUKI SUZUKI ALTO 1.0;None;4;None;None;None;/ kW;/ ccm;ni podatka;1998-06-01;1998-06-24 UVOŽEN;21 let
VF7N1RHYB73905539;CITROEN XSARA / 2.0;None;1;None;None;None;/ kW;/ ccm;ni podatka;2005-05-01;2005-05-18 UVOŽEN;
YV2AG20A5AB560242;VOLVO FH / 42 TB-38-S;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-04-28;2010-04-28;
VF1BMSE0639479302;RENAULT MEGANE / 1.5 / DCI;None;2;None;None;None;/ kW;/ ccm;ni podatka;2008-03-14;2008-03-14;24 let
VF1BZ0V0643925533;RENAULT MEGANE / 1.6 / 16V;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-09-22;2010-09-22;34 let
VF33CRHRH83572620;PEUGEOT PEUGEOT / 307 / 2.0 / HDI;None;2;None;None;None;/ kW;/ ccm;ni podatka;2004-09-01;2004-09-20 UVOŽEN;64 let
VF34C9HXC9S191384;PEUGEOT 308 / 1.6 / HDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2009-10-28;2011-01-12 UVOŽEN;62 let
WAUZZZ8P59A034846;AUDI A3 / 1.9 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2009-08-13;2009-08-13;
ZAPM4610000001621;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
4UF04ATV14T215546;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WV2ZZZ2KZAX033763;VOLKSWAGEN CADDY / 1.9 / TDI AUT.;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-06-14;2010-06-14;27 let
VF1BMSF0536349277;RENAULT MEGANE / 1.5 / DCI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2006-07-27;2006-07-27;49 let
VF1JMSF0535436285;RENAULT SCENIC / 1.5;None;2;None;None;None;/ kW;/ ccm;ni podatka;2006-02-13;2006-02-13;33 let
VF1DZ1T0644966258;RENAULT MEGANE / COUPE 2.0 / 16V;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-02-24;2011-02-24;
VF7Y3AG0001AG5080;CITROEN XM;None;2;None;None;None;/ kW;/ ccm;ni podatka;1997-04-01;1997-04-24 UVOŽEN;56 let
TEC2T0057577;PIAGGIO TYPHOON 50;None;1;None;None;None;/ kW;/ ccm;ni podatka;2002-04-01;2002-04-26 UVOŽEN;Fizična oseba 31 let
WBANX51090CT60604;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
ZAPC2500000011307;PIAGGIO ZIP 50;2000;2;navaden - RDEČA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2000-08-18;2005-03-16 UVOŽEN;Fizična oseba 32 let
653548;ZASTAVA None;None;1;None;None;None;/ kW;/ ccm;ni podatka;1979-04-01;None UVOŽEN;44 let
VF1BMR20531472027;RENAULT MEGANE / 1.5 / DCI;None;4;None;None;None;/ kW;/ ccm;ni podatka;2004-08-01;2004-08-31 UVOŽEN;28 let
VAPK0000000406647;PONGRATZ L-AT 400T-K;None;1;None;None;None;/ kW;/ ccm;ni podatka;2006-11-13;2006-11-13;27 let
XLB344723HC296359;VOLVO 340 / GL DIESEL;None;2;None;None;None;/ kW;/ ccm;ni podatka;1987-05-01;1987-05-25 UVOŽEN;35 let
WBAUB51060VB89215;BMW 120 / / d;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-10-16;2008-10-16;35 let
ZCFC2981005739348;IVECO DAILY 29L12 /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-05-13;2012-02-06 UVOŽEN;
VF1CBR7EF33205370;RENAULT CLIO / 1.5 / DCI;None;2;None;None;None;/ kW;/ ccm;ni podatka;2005-04-01;2005-04-29 UVOŽEN;35 let
WVWZZZ1HZPW357580;VOLKSWAGEN GOLF;None;4;None;None;None;/ kW;/ ccm;ni podatka;1993-03-01;1993-03-09 UVOŽEN;36 let
VF1BMRF0531727132;RENAULT MEGANE / 1.5 / DCI;None;4;None;None;None;/ kW;/ ccm;ni podatka;2004-06-01;2004-06-02 UVOŽEN;25 let
1415592;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WVWZZZ1KZ6W196958;VOLKSWAGEN GOLF / 1.9 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2006-06-14;2006-06-14;52 let
WF0NXXGCANSS09287;FORD-D ESCORT / 1.8 I 16 V;1995;3;kovinski - RDEČA - TEMNA;None;None;/ kW;/ ccm;EURO 1;1995-08-22;1995-08-22;Fizična oseba 54 let
VF30U9HR8AS184712;PEUGEOT 3008 / 1.6 / HDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-08-12;2010-08-12;
WAUZZZ8E55A455202;AUDI A4;None;1;None;None;None;/ kW;/ ccm;ni podatka;2005-04-11;2010-09-10 UVOŽEN;
WVWZZZ1KZAW102503;VOLKSWAGEN GOLF / 2.0 / TDI AUT.;None;2;None;None;None;/ kW;/ ccm;ni podatka;2009-09-02;2009-09-02;29 let
VF1BZ1U0644458967;RENAULT MEGANE / 1.6 / 16V;None;2;None;None;None;/ kW;/ ccm;ni podatka;2011-03-03;2011-03-03;27 let
WBAWB91020E209036;BMW 330 / / d xDrive;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-12-03;2011-02-16 UVOŽEN;
W0L000051T2662710;OPEL ASTRA / CAR. 1.8;None;3;None;None;None;/ kW;/ ccm;ni podatka;2005-07-01;2005-07-27 UVOŽEN;42 let
VF1JZ3G0D43703093;RENAULT SCENIC / 1.5 / DCI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-07-28;2010-07-28;44 let
KLAJF356EYK408047;DAEWOO NUBIRA / WAGON 1.6;None;4;None;None;None;/ kW;/ ccm;ni podatka;2000-04-01;2000-04-19 UVOŽEN;33 let
ZZ1A6GBAP00837450;TOMOS APN / POST MOPED;2008;1;navaden - RUMENA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2008-02-21;2008-02-21;Fizična oseba 52 let
WAUZZZ8R8AA087126;AUDI Q5 / 3.0 / TDI Q AUT.;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-04-21;2011-04-20 UVOŽEN;66 let
WVWZZZ1KZBP102590;VOLKSWAGEN GOLF / 1.6 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-01-17;2011-01-17;52 let
VF7YCDMFC11397508;CITROEN JUMPER 3.0 / HDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-04-28;2012-12-05 UVOŽEN;
VF1C57A0514322317;RENAULT CLIO / 1.2 BEBOP;None;1;None;None;None;/ kW;/ ccm;ni podatka;1996-01-01;1996-01-15 UVOŽEN;68 let
TEC1T0161804;PIAGGIO TYPHOON 50;1995;2;kovinski - RDEČA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2002-05-22;2002-05-22;Fizična oseba 65 let
WVWZZZ1KZ7P009034;VOLKSWAGEN GOLF / 1.9 / TDI;None;3;None;None;None;/ kW;/ ccm;ni podatka;2006-10-06;2006-10-06;23 let
VF7MFRHYB65889764;CITROEN BERLINGO / BREAK 2.0;None;3;None;None;None;/ kW;/ ccm;ni podatka;2002-10-01;2002-10-21 UVOŽEN;58 let
KL650A013134;KAWASAKI None;None;5;None;None;None;/ kW;/ ccm;ni podatka;1990-04-01;None UVOŽEN;39 let
621772;TOMOS A3 KLS;None;2;None;None;None;/ kW;/ ccm;ni podatka;2011-06-21;2011-06-21;16 let
ZFA146A0000090414;FIAT UNO / 1.0;None;5;None;None;None;/ kW;/ ccm;ni podatka;2001-03-01;2001-03-12 UVOŽEN;46 let
WVGZZZ1TZ4W120555;VOLKSWAGEN TOURAN / 1.9;None;2;None;None;None;/ kW;/ ccm;ni podatka;2004-03-01;2004-03-08 UVOŽEN;39 let
VF1357K0F17690293;RENAULT CLIO / 1.2 FIDJI;None;2;None;None;None;/ kW;/ ccm;ni podatka;1998-04-01;1998-04-24 UVOŽEN;60 let
WVWZZZ1KZDM603925;VOLKSWAGEN GOLF / VARIANT 1.6 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2012-08-28;2012-08-28;
W09B750P2C0B94324;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF1BZ0V0641405627;RENAULT MEGANE / 1.6 / 16V;None;1;None;None;None;/ kW;/ ccm;ni podatka;2009-06-16;2009-06-16;21 let
VF3233J4215556439;PEUGEOT BOXER 2.4 TD;None;4;None;None;None;/ kW;/ ccm;ni podatka;1998-07-01;1998-07-08 UVOŽEN;63 let
WVWZZZ1KZCP023291;VOLKSWAGEN GOLF / 1.6 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-08-03;2011-08-03;
VBKLET401CM746995;KTM 690 ENDURO R /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2012-08-24;2012-08-24;40 let
WVWZZZ1KZ6W590668;VOLKSWAGEN GOLF PLUS / 1.9 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2006-02-09;2006-02-09;56 let
WBAPY71010C025144;BMW 530 / TOURING / d xDrive AUT.;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-09-10;2012-04-25 UVOŽEN;
WAUZZZ8R5BA050259;AUDI Q5 / 2.0 / TDI Q;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-11-19;2010-11-19;
WVWZZZ1KZ4W067250;VOLKSWAGEN GOLF / 1.9;None;2;None;None;None;/ kW;/ ccm;ni podatka;2004-04-01;2004-04-29 UVOŽEN;
475929;ZASTAVA APN 6;None;3;None;None;None;/ kW;/ ccm;ni podatka;1971-02-01;2002-04-25 UVOŽEN;41 let
VF7N1RHYB73905539;CITROEN XSARA / 2.0;None;1;None;None;None;/ kW;/ ccm;ni podatka;2005-05-01;2005-05-18 UVOŽEN;
VF1KZ1A0544879080;RENAULT MEGANE / GRANDTOUR 1.5 / DCI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-04-01;2011-04-01;
VF1BT0A0639679822;RENAULT LAGUNA / 1.5 / DCI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-03-18;2011-01-17 UVOŽEN;66 let
WVWZZZ1KZ7W090695;VOLKSWAGEN GOLF / 2.0 / TDI;None;4;None;None;None;/ kW;/ ccm;ni podatka;2006-10-25;2007-09-07 UVOŽEN;56 let
VF1B4070511397242;RENAULT R5 / FIVE;None;4;None;None;None;/ kW;/ ccm;ni podatka;1994-03-01;1994-03-23 UVOŽEN;46 let
WV1ZZZ7HZ8H025115;VOLKSWAGEN TRANSPORTER K+ 2.5 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2007-11-07;2007-11-07;
ZD4SBA009A4005818;APRILIA SPORTCITY 50 /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-04-15;2011-04-15;37 let
VBKDUN4093M768701;KTM 640 DUKE II /;None;3;None;None;None;/ kW;/ ccm;ni podatka;2003-06-01;2003-06-06 UVOŽEN;42 let
SHHMB27600U007783;HONDA CIVIC / 1.4 IS;1997;3;kovinski - ZELENA - TEMNA;Bencin;D14A8;66 kW;1396 ccm;EURO 2;1997-06-18;1997-06-18;Fizična oseba 42 let
WBAUE51030JW18337;BMW 118 / / i AUT.;None;1;None;None;None;/ kW;/ ccm;ni podatka;2009-04-02;2009-04-02;27 let
W0LJ7BHB67V638019;OPEL VIVARO / COMBI 2.0 / DT;None;1;None;None;None;/ kW;/ ccm;ni podatka;2007-06-07;2007-06-07;33 let
VF3YCTMFC12320010;PEUGEOT BOXER 2.2 / HDI FG335 L3H2;None;1;None;None;None;/ kW;/ ccm;ni podatka;2012-12-11;2012-12-11;
LV3036E140445;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF32AKFXE40213600;PEUGEOT 206 / 1.4;None;4;None;None;None;/ kW;/ ccm;ni podatka;1999-03-01;1999-03-05 UVOŽEN;46 let
VF1KT1K0640937833;RENAULT LAGUNA / GRANDTOUR 2.0 / DCI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2009-02-27;2009-02-27;
LX6TCAP9671010218;BAOTIAN BT49QT-9 /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-04-23;2008-04-23;Fizična oseba 53 let
WF0GXXPSWGSM15926;FORD-D GALAXY / 2.8 GLX;None;4;None;None;None;/ kW;/ ccm;ni podatka;1996-04-01;1996-04-29 UVOŽEN;
VF7MFKFXF65202562;CITROEN BERLINGO / BREAK 1.4 I;None;4;None;None;None;/ kW;/ ccm;ni podatka;1998-06-01;1998-06-17 UVOŽEN;29 let
WVWZZZ6NZWY217517;VOLKSWAGEN POLO / 1.0;None;8;None;None;None;/ kW;/ ccm;ni podatka;1998-05-01;1998-05-04 UVOŽEN;24 let
WAUZZZ8P89A104730;AUDI A3 / 1.9 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2009-03-02;2012-07-19 UVOŽEN;
VF1KM1R0H41018070;RENAULT MEGANE / GRANDTOUR 1.6 / 16V;None;1;None;None;None;/ kW;/ ccm;ni podatka;2009-03-13;2009-03-13;35 let
VF1JZ0V0643064310;RENAULT SCENIC / 1.6 / 16V;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-08-31;2010-08-31;60 let
WVWZZZ1KZ7W062673;VOLKSWAGEN GOLF / 1.9 / TDI;None;2;None;None;None;/ kW;/ ccm;ni podatka;2007-01-24;2007-01-24;33 let
JYA4TV00000051891;YAMAHA YZF 600 R;2000;1;kovinski - SIVA - SVETLA;Bencin;4TV;74 kW;599 ccm;ni podatka;2000-04-26;2000-04-26;Fizična oseba 40 let
ZX9075000C0KLF012;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WAUZZZ4F5AN033478;AUDI A6 / 2.7 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2009-11-12;2012-06-14 UVOŽEN;
VBKLDT409CM740980;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WVWZZZ1KZAW199861;VOLKSWAGEN GOLF / 1.8 / TSI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-02-04;2010-02-04;
WVGZZZ1TZ4W117858;VOLKSWAGEN TOURAN / 1.9;None;4;None;None;None;/ kW;/ ccm;ni podatka;2004-04-01;2004-04-08 UVOŽEN;43 let
WVWZZZ1KZ7P061870;VOLKSWAGEN GOLF / 1.9 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2007-04-13;2007-04-13;57 let
ZJM44000044065496;MALAGUTI MALAGUTI FIREFOX F-15;None;4;None;None;None;/ kW;/ ccm;ni podatka;2002-03-01;2002-03-13 UVOŽEN;27 let
ZFA17600004044683;FIAT PUNTO / 75 SX;None;3;None;None;None;/ kW;/ ccm;ni podatka;1994-09-01;1994-09-15 UVOŽEN;30 let
627798;TOMOS A3 MS;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-05-09;2011-05-09;60 let
U5GV0600451023483;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WAUZZZ8P08B013461;AUDI A3 / 1.9 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-02-01;2011-05-12 UVOŽEN;33 let
VF1KZ1G0644371958;RENAULT MEGANE / GRANDTOUR 1.5 / DCI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-02-28;2011-02-28;36 let
VF3XCAHZ4CZ035087;PEUGEOT EXPERT / 2.0 / HDI L1;None;1;None;None;None;/ kW;/ ccm;ni podatka;2012-11-12;2012-11-12;Pravna oseba
ZZ1A26BAF00522102;TOMOS YOUNGST R RACING 45 /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-06-17;2011-06-17;36 let
L82TCAPC7C1000579;BAOTIAN TANCO /;None;1;navaden - RDEČA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2012-04-19;2012-04-19;Fizična oseba 48 let
ZZ1S452F4BAC02335;TOMOS TWISTER 125 /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-07-08;2011-07-08;
WVWZZZ1KZ5W234362;VOLKSWAGEN GOLF / 1.9 / TDI;None;4;None;None;None;/ kW;/ ccm;ni podatka;2005-05-27;2008-02-11 UVOŽEN;28 let
662865;ZASTAVA A 3 KLS;None;3;None;None;None;/ kW;/ ccm;ni podatka;1979-06-01;2002-07-10 UVOŽEN;50 let
WAUZZZ4F59N023528;AUDI A6 / 3.0 / TFSI Q-AUT.;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-12-04;2011-03-03 UVOŽEN;
902500;TOMOS APN 4;1974;1;navaden - RDEČA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2002-07-29;2002-07-29;Fizična oseba 49 let
ZY2EUAAAA90047148;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
WVWZZZ1JZ4D097986;VOLKSWAGEN GOLF / 1.9;None;2;None;None;None;/ kW;/ ccm;ni podatka;2004-03-01;2004-03-05 UVOŽEN;30 let
W0LJ7BHB69V628375;OPEL VIVARO / COMBI 2.0 / DT;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-01-12;2010-01-12;
WV2ZZZ2KZ5X071914;VOLKSWAGEN CADDY LIFE / 2.0;None;1;None;None;None;/ kW;/ ccm;ni podatka;2005-07-01;2005-07-27 UVOŽEN;
ZD4PD0000XS006128;APRILIA LEONARDO 125;None;2;None;None;None;/ kW;/ ccm;ni podatka;2004-11-01;2004-11-19 UVOŽEN;19 let
NMTKT58E80R034342;TOYOTA AURIS / 1.33 /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2012-10-30;2012-10-30;
ZAPC2500000021989;PIAGGIO ZIP 50;None;1;None;None;None;/ kW;/ ccm;ni podatka;2002-04-01;2002-04-17 UVOŽEN;57 let
WBAUH51010E308817;BMW 116 / / d;None;1;None;None;None;/ kW;/ ccm;ni podatka;2009-09-11;2009-09-11;
VF1BZ1U0645118505;RENAULT MEGANE / 1.6 / 16V;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-08-31;2011-08-31;75 let
ZZ1S139BXBAC13419;TOMOS NITRO 50 /;None;1;kovinski - ČRNA - SREDNJA;None;None;/ kW;/ ccm;ni podatka;2012-08-23;2012-08-23;Fizična oseba 46 let
WVWZZZ1KZ6B045820;VOLKSWAGEN GOLF / 1.9 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2005-09-16;2009-10-29 UVOŽEN;42 let
TEC1T0232208;PIAGGIO TYPHOON 50;None;1;None;None;None;/ kW;/ ccm;ni podatka;2002-05-01;2002-05-17 UVOŽEN;43 let
WBAVC31040VC63446;BMW 320 / / d;None;1;None;None;None;/ kW;/ ccm;ni podatka;2006-11-10;2012-05-25 UVOŽEN;53 let
WVGZZZ1TZCW029414;VOLKSWAGEN TOURAN / 1.6 / TDI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-09-14;2011-09-14;34 let
W09H3S108MWW04093;None None;None;1;None;None;None;/ kW;/ ccm;ni podatka;None;None;BREZ
VF1LZBB0643631018;RENAULT FLUENCE / 1.5 / DCI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2010-08-27;2010-08-27;44 let
WBAFF41030L103276;BMW X5 / 3.0 / D;None;1;None;None;None;/ kW;/ ccm;ni podatka;2007-12-21;2007-12-21;34 let
VF1BMSE0638394419;RENAULT MEGANE / 1.5 / DCI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-03-14;2008-11-12 UVOŽEN;52 let
ZAPC4240400004552;PIAGGIO LIBERTY 50 / 4T;None;1;None;None;None;/ kW;/ ccm;ni podatka;2007-01-19;2007-01-19;Pravna oseba
VF1BA1U0526341288;RENAULT MEGANE;None;4;None;None;None;/ kW;/ ccm;ni podatka;2002-04-01;2002-04-12 UVOŽEN;41 let
VF1JZ1SAD45343255;RENAULT GRAND SCENIC / 1.9 / DCI;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-05-17;2011-05-17;
JH2RC63B4CK500824;HONDA NC700XA /;None;1;None;None;None;/ kW;/ ccm;ni podatka;2012-06-28;2012-06-28;22 let
WBAUH51090E485325;BMW 116 / / d;None;1;None;None;None;/ kW;/ ccm;ni podatka;2011-03-31;2011-03-31;49 let
ZFA19400002036309;FIAT CROMA / 2.4 20V / JTD AUT.;None;1;None;None;None;/ kW;/ ccm;ni podatka;2006-03-24;2011-03-23 UVOŽEN;30 let
VF7233JL216165961;CITROEN JUMPER 35 LH 2.8;None;1;None;None;None;/ kW;/ ccm;ni podatka;2001-11-01;2001-11-30 UVOŽEN;
WVWZZZ6EZ1W007903;VOLKSWAGEN LUPO;None;1;None;None;None;/ kW;/ ccm;ni podatka;2001-07-01;2001-07-05 UVOŽEN;
VF7YCBMFB11299275;CITROEN JUMPER 2.2 / HDI 35 L2H2;None;1;None;None;None;/ kW;/ ccm;ni podatka;2008-01-10;2008-01-10;33 let
ZAPM0700000013498;GILERA RUNNER 125;1998;5;kovinski - SIVA - SVETLA;None;None;/ kW;/ ccm;ni podatka;2003-09-05;2003-09-05;Fizična oseba 25 let
