"ZNAMKA", "TIP", "REGISTRSKA", "ŠASIJA", "BARVA", "DATUM ODVZEMA"
"NISSAN", "QASHQAI", "LJ63JBG", "SJNFFAJ11U2696919", "KOVINSKI - ČRNA", "15.08.2020"
"KEEWAY", "FLASH", "MBVK60", "LBBB411007B020310", "KOVINSKI - RJAVA", "14.08.2020"
"RENAULT", "CLIO", "LJ03VMM", "VF15R0G0H52896291", "NAVADEN - BELA", "14.08.2020"
"NEW HOLLAND", "T4.75", "MBVC25", "ZDAE02764", "NAVADEN - MODRA", "14.08.2020"
"PIAGGIO", "CIAO", "", "C7V4T/010215", "NAVADEN - RDEČA", "14.08.2020"
"PIAGGIO", "ZIP 25", "KP6JR0", "LBMC25D0700006359", "NAVADEN - ČRNA", "13.08.2020"
"TOMOS", "AUTOMATIC A 3", "KPLA28", "681293", "NAVADEN - ZELENA", "13.08.2020"
"PIAGGIO", "VESPA 50", "KPAH33", "ZAPC1600000109289", "NAVADEN - ČRNA", "12.08.2020"
"PIAGGIO", "ZIP 50", "LJ70RH", "LBMC25C0200055860", "NAVADEN - ČRNA", "12.08.2020"
"PIAGGIO", "RUNNER 50", "KPFD76", "ZAPC1400003083862", "KOVINSKI - VIJOLIČNA", "11.08.2020"
"PEUGEOT", "LUDIX 50", "LJ41LU", "VGAL1AAAM00004489", "NAVADEN - RDEČA", "11.08.2020"
"OPEL", "ASTRA", "KLELE791", "WOLOAHL3552239179", "KOVINSKI - SIVA", "10.08.2020"
"HONDA", "SERIJA CB", "LJ25LA", "MLHRH02A6K5005633", "NAVADEN - ČRNA", "10.08.2020"
"BMW", "R 1200 GS ADVENTURE", "KPUP10", "WB10A0204JZ957865", "KOVINSKI - ČRNA", "10.08.2020"
"YAMAHA", "BWS NEXT GENERATION", "LJL1485", "4TD112043", "KOVINSKI - ZELENA", "10.08.2020"
"NISSAN", "QASHQAI", "DH958RF", "SJNFDAJ11U1154065", "KOVINSKI - SIVA", "05.08.2020"
"RENAULT", "MEGANE", "LJ277MF", "VF1RFB00957914973", "KOVINSKI - MODRA", "05.08.2020"
"RENAULT", "CLIO", "LJ374RZ", "VF15R5A0H51797347", "KOVINSKI - SIVA", "05.08.2020"
"VOLKSWAGEN", "POLO", "", "WVWZZZ6KZWR545909", "KOVINSKI - ZELENA", "05.08.2020"
"PIAGGIO", "ZIP 50", "", "ZAPC0700000010116", "KOVINSKI - MODRA", "04.08.2020"
"PIAGGIO", "TYPHOON 50", "", "TEC2T0009293", "KOVINSKI - MODRA", "04.08.2020"
"SCHMITZ", "VSI TIPI", "GODN098", "WSM00000005072147", "NAVADEN - BELA", "04.08.2020"
"SCHMITZ", "VSI TIPI", "GODN088", "WSM00000005072144", "NAVADEN - BELA", "04.08.2020"
"MAN", "", "KPDM408", "WMAH06ZZ57M471638", "NAVADEN - MODRA", "04.08.2020"
"PIAGGIO", "NRG 50", "KPNU37", "ZAPC4530000018888", "NAVADEN - BELA", "03.08.2020"
"RENAULT", "CLIO", "LJ03MJJ", "VF15RSN0A60679726", "KOVINSKI - RDEČA", "03.08.2020"
"GOLDONI", "STAR 100", "MB454E", "563089", "NAVADEN - RDEČA", "03.08.2020"
"PIAGGIO", "LIBERTY 50", "KPZB66", "ZAPC4240400013741", "NAVADEN - BELA", "31.07.2020"
"MALAGUTI", "PHANTOM F 12", "KRE1020", "ZJM46000046035404", "", "31.07.2020"
"GILERA", "RUNNER RST 50 SP", "KPTZ89", "ZAPC4610000049872", "NAVADEN - ČRNA", "30.07.2020"
"PEUGEOT", "SPEEDFIGHT", "KRF1118", "VGAS1B0KB00021562", "NAVADEN - RUMENA", "29.07.2020"
"PIAGGIO", "ZIP", "KP5JT7", "LBMC25D0600046495", "NAVADEN - BELA", "28.07.2020"
"MAZDA", "323", "MBBN176", "JMZBA135200542178", "NAVADEN - BELA", "27.07.2020"
"TOMOS", "APN 6", "", "381316", "KOVINSKI - RJAVA", "27.07.2020"
"BMW", "M4 COUPE", "LJ066DZ", "WBS3R91010K800390", "KOVINSKI - BELA", "27.07.2020"
"APRILIA", "SR 50", "LJ01VM", "ZD4RLB1001S112578", "NAVADEN - ČRNA", "27.07.2020"
"OPEL", "ASTRA", "LJFZ169", "W0L0TGF484G050984", "", "24.07.2020"
"RENAULT", "MEGANE", "LJ71LCV", "VF1RFB00764054140", "KOVINSKI - SIVA", "23.07.2020"
"VOLKSWAGEN", "T-ROC", "KPFV882", "WVGZZZA1ZJV035879", "KOVINSKI - MODRA", "23.07.2020"
"FIAT", "PANDA", "KPZU655", "ZFA31200003958584", "NAVADEN - BELA", "23.07.2020"
"IMV", "VSI TIPI", "KRZD473", "VY14153TDK0001131", "NAVADEN - BELA", "23.07.2020"
"PIAGGIO", "GILERA RUNNER 50", "KPBL77", "ZAPC1400003025636", "NAVADEN - RUMENA", "20.07.2020"
"PIAGGIO", "BRAVO", "LJ43DA", "BRM1T0005290", "NAVADEN - ČRNA", "20.07.2020"
"MITSUBISHI", "L 200", "MBPZ152", "MMCJNKB409D002901", "KOVINSKI - ZELENA", "15.07.2020"
"PIAGGIO", "CIAO", "LJ4HS1", "2431718", "", "15.07.2020"
"RENAULT", "CLIO", "KRDV936", "VF15RB20A57024026", "KOVINSKI - ČRNA", "14.07.2020"
"RENAULT", "TRAFIC", "", "VF1JL000257182258", "NAVADEN - BELA", "13.07.2020"
"RENAULT", "CAPTUR", "CEGZ545", "VF12RFL1H53197347", "KOVINSKI - SIVA", "10.07.2020"
"FORD", "FIESTA", "", "WF0AXXGAJATA85922", "NAVADEN - RDEČA", "10.07.2020"
"GILERA", "RUNNER 50", "KPAM66", "ZAPC4610000043336", "NAVADEN - RDEČA", "09.07.2020"
"RENAULT", "SCENIC", "KRCE400", "VF1RFA00157559291", "KOVINSKI - SIVA", "09.07.2020"
"PIAGGIO", "ZIP 50", "KPTM02", "LBMC25C0900091173", "NAVADEN - BELA", "08.07.2020"
"PIAGGIO", "ZIP 50", "KPCV13", "LBMCA210000010913", "NAVADEN - ČRNA", "08.07.2020"
"PIAGGIO", "ZIP 25", "KP9EJ1", "LBMC25D0700026563", "NAVADEN - ČRNA", "08.07.2020"
"YAMAHA", "YQ 50", "", "VG55BR00000109572", "KOVINSKI - ZELENA", "07.07.2020"
"PIAGGIO", "ZIP 25", "LJ5JL4", "LBMC25D0100010701", "NAVADEN - SIVA", "07.07.2020"
"PEUGEOT", "S1B", "CELL22", "VGAS1B00B00039344", "NAVADEN - ČRNA", "07.07.2020"
"VESPA", "PIAGGIO", "", "863596", "KOVINSKI - VIJOLIČNA", "06.07.2020"
"RENAULT", "CLIO", "LJ85UTB", "VF1R9800862988264", "KOVINSKI - RDEČA", "06.07.2020"
"GILERA", "RUNNER 125", "", "ZAPM4630000004110", "NAVADEN - ČRNA", "05.07.2020"
"PIAGGIO", "ZIP 25", "LJ9HS0", "LBMC25D0500011804", "NAVADEN - ČRNA", "02.07.2020"
"RENAULT", "CAPTUR", "MBRT723", "VF12R5A1H51825432", "NAVADEN - RJAVA", "02.07.2020"
"PIAGGIO", "LIBERTY 50", "LJ18ZC", "RP8C54100HV007242", "NAVADEN - BELA", "01.07.2020"
"LINTEX", "MACT", "LJGG73", "LJLTCBHU9E3A00419", "NAVADEN - ČRNA", "30.06.2020"
"GILERA", "RUNNER RST 50 SP", "POJK81", "ZAPC3640000024091", "KOVINSKI - SIVA", "30.06.2020"
"GILERA", "RUNNER RST 50 SP", "MBRD10", "ZAPC4610000061253", "NAVADEN - ORANŽNA", "30.06.2020"
"RENAULT", "MEGANE GRANDTOUR", "LJ81SFJ", "VF1RFB00964054334", "NAVADEN - BELA", "29.06.2020"
"PIAGGIO", "SI", "", "2001578", "NAVADEN - ČRNA", "29.06.2020"
"TOMOS", "APN 6 S", "KKD1894", "459783", "KOVINSKI - RDEČA", "29.06.2020"
"TOMOS", "FLEXER 25", "KP2LT0", "ZZ1A24DAA00948632", "NAVADEN - RUMENA", "29.06.2020"
"PIAGGIO", "ZIP 50", "KP7AN9", "LBMC25D0700044495", "NAVADEN - BELA", "24.06.2020"
"VOLKSWAGEN", "TOURAN", "LJ38ADA", "WVGZZZ1TZKW067550", "KOVINSKI - SIVA", "24.06.2020"
"RENAULT", "CLIO", "MBEM887", "VF15RSN0A58800768", "NAVADEN - BELA", "23.06.2020"
"PIAGGIO", "TYPHOON 50 2T", "", "LBMC5010000034605", "NAVADEN - ČRNA", "23.06.2020"
"RENAULT", "CAPTUR", "NMZS056", "VF12R031661506303", "KOVINSKI - BELA", "22.06.2020"
"BAOTIAN", "TANCO 125", "LJ64CB", "L82TAAPC7G1206903", "NAVADEN - SIVA", "22.06.2020"
"PIAGGIO", "VESPA", "KPRE61", "ZAPMA330000027724", "NAVADEN - SIVA", "19.06.2020"
"ZNEN", "VSI TIPI", "LJ3EF4", "L5YBGCZAXJ1140420", "NAVADEN - BELA", "19.06.2020"
"FIAT", "PUNTO", "MSHI236", "ZFA18800004855332", "KOVINSKI - SIVA", "18.06.2020"
"MERCEDES BENZ", "", "LJ042KM", "WDC1569081J398818", "NAVADEN - ČRNA", "18.06.2020"
"FIAT", "500", "LJ79VFE", "ZFA3120000JB77529", "NAVADEN - BELA", "17.06.2020"
"RENAULT", "GRAND SCENIC", "LJ17TCP", "VF1RFA00763631006", "KOVINSKI - BELA", "16.06.2020"
"RENAULT", "MEGANE GRANDTOUR", "LJ45RTR", "VF1RFB00262249560", "KOVINSKI - ČRNA", "15.06.2020"
"PIAGGIO", "CIAO", "LJ4AC1", "C7E4T001752", "", "10.06.2020"
"VOLKSWAGEN", "GOLF", "CECE027", "WVWZZZAUZFW014796", "KOVINSKI - SIVA", "09.06.2020"
"VOLKSWAGEN", "GOLF", "LJDP054", "WVWZZZ1KZ9P003511", "NAVADEN - RDEČA", "09.06.2020"
"PIAGGIO", "VESPA 50", "GONN04", "ZAPC5310000021478", "NAVADEN - MODRA", "08.06.2020"
"KAWASAKI", "", "CESI04", "JKAZXT00CCA007580", "NAVADEN - ZELENA", "08.06.2020"
"VOLKSWAGEN", "PASSAT VARIANT", "LJ71JSF", "WVWZZZ3BZ3E325075", "KOVINSKI - ZELENA", "08.06.2020"
"YAMAHA", "VSI TIPI", "LJ28FL", "VG5RM141000011312", "KOVINSKI - RDEČA", "05.06.2020"
"FIAT", "DUCATO 2.3", "LJ77TCP", "ZFA25000002773188", "NAVADEN - BELA", "05.06.2020"
"RENAULT", "KADJAR", "LJ48TAL", "VF1RFE00261566973", "KOVINSKI - RDEČA", "04.06.2020"
"YAMAHA", "SERIJA XT", "LJ10PH", "JYASJ142000007824", "NAVADEN - ČRNA", "04.06.2020"
"TOMOS", "A 3 MS", "MBAA39", "584252", "NAVADEN - BELA", "04.06.2020"
"SHENKE", "SPEEDY", "", "LJ4TCBPN06S010170", "KOVINSKI - MODRA", "03.06.2020"
"BMW", "530", "KRDL714", "WBAXB51060DX76644", "KOVINSKI - ČRNA", "02.06.2020"
"KTM", "300 EXC", "", "VBKGSA204GM371465", "NAVADEN - BELA", "02.06.2020"
"OPEL", "ASTRA CLASSIC III", "CEBH107", "W0L000053R5196167", "NAVADEN - BELA", "01.06.2020"
"TOMOS", "FLEXER 25", "LJ7JL2", "ZZ1A24DAA00A56587", "NAVADEN - ČRNA", "01.06.2020"
"TOMOS", "FLEXER A 35", "", "ZZ1A24DAA00C69990", "SREBRNA", "01.06.2020"
"RENAULT", "CLIO", "KRTJ660", "VF1R9800761983563", "NAVADEN - BELA", "01.06.2020"
"CITROEN", "JUMPY 1.6", "LJ29TNI", "VF7XS9HUC9Z036486", "NAVADEN - BELA", "01.06.2020"
"PEUGEOT", "BOXER 3 0", "LJ670CS", "VF3YDPMAU12823694", "NAVADEN - BELA", "29.05.2020"
"RENAULT", "MEGANE GRANDTOUR", "LJ95SEP", "VF1RFB00960482735", "NAVADEN - BELA", "28.05.2020"
"RENAULT", "MEGANE", "LJ74HBM", "VF1RFB00953905438", "KOVINSKI - RDEČA", "28.05.2020"
"HONDA", "SERIJA CB", "KRBV90", "ZDCPC39A06F036015", "KOVINSKI - RDEČA", "26.05.2020"
"KTM", "500 EXC", "", "VBKEXA4088M462990", "NAVADEN - ORANŽNA", "26.05.2020"
"FIAT", "DUCATO 2.5", "", "ZFA25000002M54413", "KOVINSKI - BELA", "25.05.2020"
"BAOTIAN", "", "LJ97KJ", "L82TCAPM4D1000890", "KOVINSKI - BELA", "21.05.2020"
"BAOTIAN", "BT49QT-9", "LJ7CA0", "L82TCAP9XG1206361", "KOVINSKI - RDEČA", "21.05.2020"
"RENAULT", "KADJAR", "LJ25ZKJ", "VF1RFE00161889234", "KOVINSKI - ČRNA", "20.05.2020"
"ČELIK ITION", "", "WNCE1301HPAL", "WNCE1301HPAL02375", "KOVINSKI - RUMENA", "20.05.2020"
"PIAGGIO", "GRILLO", "LJ4TL6", "0027608", "NAVADEN - BELA", "19.05.2020"
"PIAGGIO", "CIAO", "LJ8JM1", "180935", "NAVADEN - BELA", "18.05.2020"
"TOMOS", "AUTOMATIC", "LJ56TU", "397095", "NAVADEN - BELA", "18.05.2020"
"CITROEN", "", "LJ46EPR", "VF77JBHY6JJ721281", "NAVADEN - BELA", "18.05.2020"
"GILERA", "RUNNER 50", "", "ZAPC4610000030389", "NAVADEN - ČRNA", "16.05.2020"
"RENAULT", "MEGANE GRANDTOUR", "LJ01KEL", "VF1RFB00660187527", "KOVINSKI - ČRNA", "13.05.2020"
"KYMCO", "PEOPLE 50", "LJPP48", "RFBB1002075100119", "KOVINSKI - SIVA", "13.05.2020"
"RENAULT", "CLIO", "LJ087AJ", "VF15RB20A56588057", "KOVINSKI - SIVA", "13.05.2020"
"SUBARU", "XV", "KRDN958", "JF1GPDLZ3CG002223", "NAVADEN - ORANŽNA", "13.05.2020"
"YAMAHA", "SERIJA XJR", "LJ32ID", "VG5SH131000008108", "KOVINSKI - MODRA", "13.05.2020"
"PIAGGIO", "ZIP 25", "KP1LT7", "LBMCA220000000029", "NAVADEN - ČRNA", "13.05.2020"
"PIAGGIO", "BOXER", "LJ3JE4", "BTV1T723171", "NAVADEN - MODRA", "12.05.2020"
"PIAGGIO", "BRAVO", "LJ2EA6", "EEM1T5135215", "NAVADEN - BELA", "12.05.2020"
"LASTNA IZDELAVA", "VSI TIPI", "KPHM345", "NI", "", "12.05.2020"
"SYM", "ORBIT 25", "CE0JU2", "LXMAE05WXCX124128", "NAVADEN - ČRNA", "11.05.2020"
"AUDI", "Q7", "", "WAUZZZ4L98D005639", "KOVINSKI - ČRNA", "08.05.2020"
"RENAULT", "CLIO", "NM7074K", "VF1CB0A0F18001363", "NAVADEN - RDEČA", "07.05.2020"
"TOMOS", "AUTOMATIC", "LJ25BJ", "580214", "KOVINSKI - SIVA", "06.05.2020"
"MOTOWELL", "MAGNET CITY", "LJ61RN", "TSNAABAC4H1161072", "NAVADEN - RDEČA", "06.05.2020"
"BAOTIAN", "VSI TIPI", "CE4AJ3", "L82TAAPC5F1203786", "NAVADEN - RDEČA", "06.05.2020"
"PIAGGIO", "NRG 50", "KPCL33", "ZAPCA710000003989", "NAVADEN - ČRNA", "06.05.2020"
"YAMAHA", "AEROX", "CEEP49", "VG55BR00000109522", "NAVADEN - RDEČA", "05.05.2020"
"OPEL", "ASTRA", "", "W0L0TGF48X5156063", "KOVINSKI - SIVA", "05.05.2020"
"RENAULT", "CLIO", "LJ73AIB", "VF1R9800X61910011", "KOVINSKI - RDEČA", "04.05.2020"
"RENAULT", "CLIO", "LJ07RVP", "VF15RSN0A59411170", "NAVADEN - BELA", "04.05.2020"
"TOMOS", "AUTOMATIC", "", "308842", "NAVADEN - ZELENA", "04.05.2020"
"KYMCO", "VITALITY 50", "GOLZ73", "RFBU3100051000691", "KOVINSKI - SIVA", "04.05.2020"
"BMW", "116", "LJ22ZIR", "WBA1V710707D24499", "NAVADEN - BELA", "30.04.2020"
"PIAGGIO", "ZIP 50", "", "LBMC25D0200032299", "NAVADEN - ČRNA", "29.04.2020"
"FORD", "ESCORT", "", "WF0AXXGCAASU73618", "NAVADEN - RDEČA", "29.04.2020"
"TOMOS", "14 M", "", "334756", "NAVADEN - MODRA", "28.04.2020"
"LONGJIA", "TREVIS", "LJ88AT", "L4HJABBP3H6000483", "NAVADEN - SIVA", "28.04.2020"
"HUMBAUR", "VSI TIPI", "MBHF663", "WHD200A2490465513", "KOVINSKI - SIVA", "28.04.2020"
"RENAULT", "MEGANE", "LJK865Z", "VF1BA0W0520054292", "KOVINSKI - ZELENA", "28.04.2020"
"CITROEN", "JUMPER", "", "VF7YCBNFC12L72249", "NAVADEN - BELA", "23.04.2020"
"FIAT", "VSI TIPI", "", "ZFA25000002N24454", "SREBRNA", "23.04.2020"
"RENAULT", "CLIO", "NMNN268", "VF15R5A0H48804297", "KOVINSKI - RDEČA", "23.04.2020"
"PIAGGIO", "CIAO", "LJ7FK9", "0189868", "NAVADEN - ORANŽNA", "21.04.2020"
"SYM", "ORBIT 25", "MB4JD3", "LXMAVA102G", "NAVADEN - RDEČA", "20.04.2020"
"PIAGGIO", "VESPA", "KPDS81", "ZAPM4420000005756", "KOVINSKI - ČRNA", "20.04.2020"
"GILERA", "RUNNER 50", "MBA3332", "ZAPC3610000012590", "NAVADEN - RDEČA", "18.04.2020"
"VOLKSWAGEN", "GOLF VARIANT", "LJ858NA", "WVWZZZAUZFP561289", "NAVADEN - ČRNA", "16.04.2020"
"VOLKSWAGEN", "GOLF", "KPFL764", "WVWZZZAUZHW061672", "NAVADEN - BELA", "14.04.2020"
"FIAT", "500", "LJ90ASK", "ZFA3120000J709252", "KOVINSKI - SIVA", "09.04.2020"
"AUDI", "Q5", "", "WAUZZZ8R9GA033441", "KOVINSKI - ČRNA", "08.04.2020"
"VOLKSWAGEN", "TIGUAN", "", "WVGZZZ5NZAW105792", "", "08.04.2020"
"TOMOS", "FLEXER 25", "LJ2HS8", "ZZ1A24DAA00625922", "NAVADEN - RDEČA", "07.04.2020"
"TOMOS", "", "KPDI33", "537550", "NAVADEN - RDEČA", "07.04.2020"
"BAOTIAN", "BT49QT-12", "LJ8CP5", "L82TCAPLXH1200220", "KOVINSKI - SIVA", "06.04.2020"
"RENAULT", "CLIO", "LJ67AMS", "VF1R9800X63698506", "NAVADEN - BELA", "26.03.2020"
"AUDI", "A 4", "CETR574", "WAUZZZF43HN025465", "NAVADEN - BELA", "25.03.2020"
"RENAULT", "SCENIC", "LJ859TT", "VF1JZ420645685524", "KOVINSKI - ČRNA", "25.03.2020"
"FIAT", "PUNTO", "LJ430HG", "ZFA19900001148993", "NAVADEN - BELA", "24.03.2020"
"RENAULT", "CLIO", "LJSD155", "VF15R5A0H50398573", "KOVINSKI - RDEČA", "20.03.2020"
"RENAULT", "ESPACE", "LJ69NGN", "VF1RFC00359629230", "KOVINSKI - ČRNA", "18.03.2020"
"VOLKSWAGEN", "GOLF", "LJ14AEG", "WVWZZZAUZEW420570", "KOVINSKI - ČRNA", "17.03.2020"
"BMW", "525", "LJ73EED", "WBA5C91040D461644", "KOVINSKI - MODRA", "16.03.2020"
"UNIS", "GOLF", "", "WVWZZZ1GZMW187561", "NAVADEN - SIVA", "16.03.2020"
"CITROEN", "XSARA PICASSO", "", "VF7CH6FZB38864533", "KOVINSKI - SIVA", "16.03.2020"
"FIAT", "PUNTO", "", "ZFA18800005204190", "NAVADEN - BELA", "16.03.2020"
"MERCEDES BENZ", "C 220", "LJ763NT", "WDD2052041F307505", "NAVADEN - BELA", "16.03.2020"
"RENAULT", "KOLEOS", "LJ53EUB", "VF1RZG00262320745", "NAVADEN - BELA", "13.03.2020"
"PEUGEOT", "BOXER 2 0", "GONH906", "VF3YD3MFC12D79950", "NAVADEN - BELA", "12.03.2020"
"ŠKODA", "KAROQ", "4SI4243", "TMBLJ7NU5J5030890", "KOVINSKI - SIVA", "12.03.2020"
"KARMANN", "", "POMARTIN", "ZFA25000002E33889", "KOVINSKI - SIVA", "11.03.2020"
"KARMANN", "", "GOP0L0NA", "ZFA25000002E65784", "NAVADEN - BELA", "11.03.2020"
"KEEWAY", "FOCUS", "MBNZ02", "TSYTABMP15C646746", "KOVINSKI - RDEČA", "10.03.2020"
"AUDI", "Q5", "MSLS260", "WAUZZZ8R5FA144681", "KOVINSKI - ČRNA", "09.03.2020"
"BMW", "520", "LJ78VZE", "WBA5L51070G096254", "KOVINSKI - ČRNA", "09.03.2020"
"FIAT", "PUNTO", "LJ21TDT", "ZFA19900000820512", "NAVADEN - BELA", "09.03.2020"
"MERCEDES BENZ", "E 320", "", "WDB2100821X012083", "KOVINSKI - SIVA", "05.03.2020"
"RENAULT", "MEGANE", "KREN053", "VF1RFB00X59264636", "KOVINSKI - RDEČA", "04.03.2020"
"YIYING", "YY50QT", "LJ54EH", "LD5SG26CB6H205022", "KOVINSKI - RDEČA", "04.03.2020"
"RENAULT", "MEGANE", "LJ32GHK", "VF1RFB00964286688", "KOVINSKI - MODRA", "04.03.2020"
"TOMOS", "FLEXER 25", "KP9AC5", "ZZ1A24DAA00B66245", "NAVADEN - RDEČA", "04.03.2020"
"FIAT", "PUNTO EVO", "LJLD279", "ZFA19900000809248", "NAVADEN - BELA", "03.03.2020"
"RENAULT", "CLIO", "LJIM090", "VF15R0G0H48237953", "", "03.03.2020"
"LAND ROVER", "DISCOVERY", "LJ615TE", "SALLAAA147A442115", "KOVINSKI - SIVA", "02.03.2020"
"FORD", "MONDEO", "LJ198NT", "WF0NXXGBBNVD49322", "KOVINSKI - VIJOLIČNA", "02.03.2020"
"PEUGEOT", "BOXER 2 4", "KRNH468", "VF3233J4215685118", "NAVADEN - BELA", "02.03.2020"
"RENAULT", "CLIO", "LJBL280", "VF15R5A0H48188995", "KOVINSKI - RDEČA", "28.02.2020"
"YIYING", "YY50QT", "LJR3270", "LD5TCBPA07F101640", "KOVINSKI - MODRA", "24.02.2020"
"RENAULT", "ESPACE", "LJ230TR", "VF1RFC00457341759", "KOVINSKI - ČRNA", "19.02.2020"
"PIAGGIO", "SI", "LJ96MC", "006939", "NAVADEN - MODRA", "18.02.2020"
"RENAULT", "MASTER FURGON 3 0", "LJ213PG", "VF1FDCTL636322554", "KOVINSKI - SIVA", "18.02.2020"
"PIAGGIO", "ZIP 25", "KP7LT8", "LBMCA220000003710", "NAVADEN - ČRNA", "18.02.2020"
"PIAGGIO", "ZIP 50", "KPKR86", "ZAPC0600000023894", "KOVINSKI - MODRA", "15.02.2020"
"RENAULT", "MEGANE", "LJ41HHF", "VF1RFB00461850989", "KOVINSKI - SIVA", "14.02.2020"
"RENAULT", "MEGANE", "LJ610CD", "VF1JA0F0517174086", "KOVINSKI - SIVA", "14.02.2020"
"FORD", "ESCORT", "", "WF0AXXGCAAVD26663", "KOVINSKI - VIJOLIČNA", "13.02.2020"
"VOLVO", "850", "", "YV1LS5102P2042671", "KOVINSKI - SIVA", "12.02.2020"
"AUDI", "A 6", "KPEM031", "WAUZZZ4BZXN068595", "KOVINSKI - SIVA", "11.02.2020"
"TOMOS", "STANDARD 25", "LJ7HA7", "ZZ1A34DAA00F76371", "NAVADEN - ČRNA", "11.02.2020"
"RENAULT", "CLIO", "LJ38NLI", "VF1R9800561587809", "NAVADEN - BELA", "10.02.2020"
"TOMOS", "APN 6", "KRJ1053", "447818", "KOVINSKI - MODRA", "07.02.2020"
"MERCEDES BENZ", "GLE 350 D 4MATIC COUPE", "FK555TN", "WDC1660241A966601", "KOVINSKI - BELA", "06.02.2020"
"CITROEN", "C3 PICASSO", "", "VF7SH9HP0BT514522", "NAVADEN - BELA", "06.02.2020"
"FIAT", "DUCATO MAXI 2 5", "LJ22PGR", "ZFA25000002G85250", "NAVADEN - BELA", "05.02.2020"
"AUDI", "A 3", "KRZU385", "WAUZZZ8P78A121579", "KOVINSKI - SIVA", "04.02.2020"
"PIAGGIO", "ZIP 50", "KPBD75", "LBMCA210000010977", "NAVADEN - ČRNA", "04.02.2020"
"RENAULT", "MEGANE BERLINE", "LJ666UK", "VF1RFB00057030291", "KOVINSKI - ČRNA", "04.02.2020"
"PIAGGIO", "ZIP 50", "KP8LT2", "LBMCA220000004741", "NAVADEN - ČRNA", "04.02.2020"
"RENAULT", "CLIO", "CEED249", "VF15RSN0A56508179", "KOVINSKI - BELA", "03.02.2020"
"RENAULT", "LAGUNA", "", "VF1BGRG0632834054", "KOVINSKI - SIVA", "31.01.2020"
"TOMOS", "YOUNGST R RACING 25", "MB2AC6", "ZZ1A26DAF00524248", "NAVADEN - ČRNA", "31.01.2020"
"PIAGGIO", "", "KP6ZD2", "LBMC25D0X00013628", "NAVADEN - BELA", "31.01.2020"
"RENAULT", "CLIO", "KPUB934", "VF1CB0A0F23427078", "NAVADEN - MODRA", "31.01.2020"
"PEUGEOT", "PARTNER", "MBFF055", "VF37J9HP0EJ853389", "NAVADEN - BELA", "31.01.2020"
"RENAULT", "MEGANE BERLINE", "LJ09CLS", "VF1RFB00855598140", "KOVINSKI - MODRA", "30.01.2020"
"BMW", "316I", "", "WBACG11060KD42411", "KOVINSKI - ČRNA", "30.01.2020"
"VOLKSWAGEN", "", "LJ870ZE", "WVWZZZ7NZEV032197", "KOVINSKI - SIVA", "29.01.2020"
"PIAGGIO", "ZIP 25", "LJ0KT7", "LBMC25D0700014820", "NAVADEN - ČRNA", "27.01.2020"
"MERCEDES BENZ", "VITO", "NME6954", "WDF63960113110369", "KOVINSKI - SIVA", "22.01.2020"
"TPV", "VSI TIPI", "CEKD316", "ZY2B1830T90012133", "KOVINSKI - SIVA", "21.01.2020"
"RENAULT", "MEGANE COUPE CABRIOLET", "", "VF1EA04B522570679", "KOVINSKI - SIVA", "21.01.2020"
"RENAULT", "CLIO", "LJ30IRU", "VF15RU40H52070243", "NAVADEN - RDEČA", "20.01.2020"
"RENAULT", "CLIO", "LJ28ECK", "VF15R040H51371048", "KOVINSKI - ČRNA", "20.01.2020"
"PIAGGIO", "ZIP 50", "KP2TU3", "LBMC25D0900046491", "NAVADEN - BELA", "20.01.2020"
"MERCEDES BENZ", "E 200", "LJ17MEH", "WDD2120051A596347", "KOVINSKI - ČRNA", "20.01.2020"
"VOLKSWAGEN", "CADDY LIFE", "LJ05LVB", "WV2ZZZ2KZ7X038322", "SREBRNA", "17.01.2020"
"FORD", "MONDEO", "LJEV709", "WF0WXXGBBW1R18175", "KOVINSKI - RDEČA", "17.01.2020"
"VOLKSWAGEN", "PASSAT", "", "WVWZZZ3CZ7P158082", "NAVADEN - MODRA", "16.01.2020"
"BMW", "520D", "MBTD703", "WBA5J31030D070701", "NAVADEN - ČRNA", "16.01.2020"
"RENAULT", "MEGANE GRANDTOUR", "LJ004DH", "VF1RFB00857519165", "KOVINSKI - SIVA", "15.01.2020"
"RENAULT", "CLIO", "LJGP474", "VF15R5A0H48088881", "NAVADEN - BELA", "14.01.2020"
"KAWASAKI", "SERIJA Z", "MBBS07", "JKAZR900BBDA00301", "KOVINSKI - ČRNA", "13.01.2020"
"AUDI", "A 3", "", "WAUZZZ8V1F1027371", "KOVINSKI - SIVA", "13.01.2020"
"HONDA", "VSI TIPI", "", "JH2PE05A05M303109", "NAVADEN - RDEČA", "13.01.2020"
"TOMOS", "APN 6", "LJDU66", "449324", "KOVINSKI - SIVA", "13.01.2020"
"FIAT", "500", "LJ21EDS", "ZFA3120000JA76714", "KOVINSKI - ČRNA", "10.01.2020"
"PIAGGIO", "ZIP 25", "KP8EJ3", "LBMC25D0100022038", "NAVADEN - ČRNA", "09.01.2020"
"RENAULT", "CLIO", "LJ11PDM", "VF15R0G0H49535454", "KOVINSKI - RDEČA", "09.01.2020"
"RENAULT", "MEGANE GRANDTOUR", "LJ91KNI", "VF1KZS00E51868270", "KOVINSKI - ČRNA", "09.01.2020"
